date,AAPL,ADMP,ADMS,ADNT,AFSI,ARRY,BANC,BANF,BDSI,BREW,CAAS,CABO,CACC,CACI,CAKE,CCOI,CRESY,DFIN,DFRG,DGLD,DXB,DWTR,EBAY,EXLS,EPZM,FLOW,FLWS,GTN,GWB,HIBB,HASI,ISTR,IVAC,KRNT,LOCO,NTRI,OEC,PEE,PSCI,QQQ,RE,SAVR,TNC,TNP,VIAV,VTRB,VTEN,ZBIQ,ZFGN,ZUMZ
2017/2/15,135.5099945,3.549999952,17.20999908,63.97000122,27.43000031,11.94999981,20.45000076,48.22499847,1.899999976,15.85000038,4.789999962,640.75,203.1000061,126.1500015,61.79000092,41.90000153,19.45000076,23.80999947,17.20000076,52.34999847,24.79999924,25.32999992,34.00999832,46.95000076,12.25,34.52000046,10.10000038,12.60000038,43.06999969,29.89999962,18.95000076,20.10000038,10.75,17.14999962,13.30000019,35.75,21.10000038,33.50999832,56.88000107,129.2899933,234.1100006,42.90999985,71.05000305,4.760000229,10.76000023,25.61000061,3.599999905,33.77999878,4.21999979,20.14999962
2017/2/16,135.3500061,3.5,17.09000015,64.69999695,27.53000069,11.18000031,20.29999924,48.17499924,1.879999995,15.75,4.840000153,639.7999878,202.3999939,127.5999985,61.61000061,41.84999847,19.22999954,24.27000046,17.10000038,51.49000168,24.82999992,25.22999954,33.54000092,46.77000046,12.10000038,34.24000168,9.949999809,12.44999981,42.34000015,29.25,19.04999924,20.20000076,10.5,17.04999924,13.5,35.79999924,20.85000038,33.61999893,56.97999954,129.25,235.5099945,43.15999985,71.34999847,4.71999979,10.69999981,25.70000076,3.599999905,34.5,4.190000057,19.79999924
2017/2/17,135.7200012,3.5,17.28000069,64.01000214,27.34000015,11.36999989,19.85000038,48.40000153,1.879999995,15.85000038,4.869999886,635.6900024,191.9900055,126.6999969,61.83000183,42.09999847,19.31999969,24.67000008,17.04999924,51.91999817,24.48999977,25.20999908,33.75999832,47.20000076,12.80000019,33.81000137,10,12.55000019,42.09999847,29.70000076,19.25,20.39999962,10.39999962,17.95000076,13.39999962,36.45000076,20.85000038,33.61999893,56.66999817,129.8099976,235.1199951,43.25999832,71.34999847,4.78000021,10.71000004,25.38999939,3.599999905,33.97999954,4.099999905,20.25
2017/2/21,136.6999969,3.5,17.20000076,66.95999908,27.62000084,10.88000011,19.79999924,48.5,1.899999976,15.64999962,4.849999905,639.3599854,194.0800018,127.75,60.66999817,42.77999878,19.55999947,24.54999924,17.14999962,51.86999893,24.52000046,25.39999962,33.91999817,47.54999924,12.30000019,34.65000153,10.10000038,12.55000019,42.38999939,30.14999962,19.52000046,20.54999924,10.75,17.35000038,13.10000038,37.70000076,21.54999924,33.61999893,57.16999817,130.4499969,233.9400024,43.66999817,72,4.860000134,10.73999977,25.32999992,3.599999905,34.47999954,4.119999886,20.14999962
2017/2/22,137.1100006,3.400000095,17.12000084,67.52999878,27.76000023,10.73999977,19.5,48.875,2.049999952,15.85000038,4.869999886,642.3300171,196.9600067,128.6499939,60.09999847,42.45000076,19.32999992,24.55999947,17.20000076,51.68000031,24.46999931,25.19000053,33.81999969,47.72999954,12.05000019,33.88000107,10.19999981,13.19999981,42.49000168,29.89999962,19.19000053,20.54999924,11,17.60000038,13,37.5,20.95000076,33.59000015,56.56999969,130.5,234.9100037,43.61000061,70.09999847,4.789999962,10.52000046,25.25,3.599999905,35.40000153,4.070000172,19.95000076
2017/2/23,136.5299988,3.349999905,17.25,65.94999695,27.77000046,10.35999966,19.54999924,48.90000153,1.899999976,15.60000038,4.929999828,638.789978,198.3899994,125.6500015,61.18000031,42.25,18.69000053,26.37999916,16.79999924,50.27000046,24.62000084,25.12000084,33.59999847,47.91999817,11.69999981,33.52999878,10.19999981,13.30000019,42.81000137,29.14999962,19.72999954,20.5,9.949999809,17.10000038,12.75,37,20.5,34.06000137,55.99000168,130.0099945,235.3800049,43.61999893,73.25,4.739999771,10.31999969,25.32999992,3.599999905,35.65999985,4.019999981,18.85000038
2017/2/24,136.6600037,3.25,17.20000076,66.48000336,27.65999985,10.56000042,19.35000038,48.77500153,1.879999995,15.30000019,4.860000134,637.3699951,200.7899933,127.4499969,61.09999847,42.54999924,18.54999924,26.20000076,16.60000038,49.29000092,24.61000061,24.96999931,34.06000137,47.56000137,12.14999962,33.88999939,10.14999962,13.35000038,42.70000076,29.89999962,19.80999947,20.54999924,10.10000038,16.75,12.64999962,38.15000153,20.75,34.25999832,56.52999878,130.2599945,235.0299988,43.47000122,74.94999695,4.659999847,10.43999958,25.54999924,3.599999905,35.45999908,3.950000048,19.54999924
2017/2/27,136.9299927,3.299999952,18.07999992,67.52999878,22.34000015,11.43000031,20,48.70000076,2,14.89999962,4.860000134,645.0499878,203.1199951,128.0500031,61.02000046,42.40000153,18.64999962,25.90999985,16.25,50.02999878,24.64999962,25.20999908,34.27999878,47.72999954,13.64999962,34.79999924,10.19999981,13.89999962,43.36000061,30.35000038,19.92000008,20.14999962,10,16.75,12.69999981,39.20000076,20.5,34.27999878,57.25999832,130.4199982,233.0299988,43.59999847,73.19999695,4.619999886,9.979999542,25.27000046,3.599999905,32.36000061,4.039999962,20.14999962
2017/2/28,136.9900055,3.450000048,18.5,67.12999725,23,11.5,19.45000076,47.67499924,2,14.69999981,4.800000191,625.4199829,200.4600067,125.4000015,61.04999924,41.45000076,18.78000069,23.11000061,15.89999962,49.93999863,24.65999985,24.90999985,33.90000153,44.65999985,14.19999981,34,10,13.60000038,42.74000168,29.5,19.79000092,20.25,10.10000038,16.20000076,12.5,46.5,20.79999924,34.11999893,56.18000031,130.0200043,235.1399994,43.06000137,70.25,4.630000114,10.02000046,25.27000046,3.599999905,32.81999969,3.970000029,20.39999962
2017/3/1,139.7899933,3.5,18.26000023,67.72000122,23.17000008,11.68999958,20.54999924,48.5,2.029999971,15.19999981,4.829999924,634.5300293,204.0200043,128.4499969,61.18999863,42.25,19.06999969,22.31999969,16.29999924,50.16999817,24.75,25.5,34.27000046,46.99000168,13.94999981,36.15000153,10.19999981,14.44999981,44.36999893,30.14999962,19.95000076,20.36700058,10.60000038,16.10000038,12.55000019,46.70000076,21.20000076,34.41999817,57.65999985,131.4400024,239.1499939,44.36999893,72.75,4.679999828,10.03999996,25.20000076,3.700000048,31.47999954,4.019999981,20
2017/3/2,138.9600067,3.5,17.42000008,67.25,22.95000076,11.53999996,20.25,47.125,2.049999952,14.64999962,4.730000019,623.5,203.5599976,125.6999969,61.59000015,41.15000153,18.62000084,22.35000038,16.39999962,52.04000092,24.70999908,25.11000061,33.90999985,46.45000076,13.85000038,34.29000092,9.899999619,14,44.11999893,30.35000038,19.88999939,20.5,10.5,15.30000019,12.14999962,49.25,21.25,34.50999832,56.61000061,130.7799988,237.1799927,43.34999847,71.09999847,4.630000114,9.779999733,24.79999924,3.599999905,31.94000053,4.03000021,21.10000038
